country,region,bbox
Algeria,Boumerdès,"36.597327175109,3.1732690760000537,36.917222398000035,4.039463159896911"
Algeria,Chlef,"35.841559353081664,0.7023657570740056,36.54791901200008,1.7192029145828087"
Algeria,Constantine,"36.10689199486967,6.3177335948295195,36.60789500594973,7.048283318720166"
Algeria,Djelfa,"32.840760606416836,2.2857316424013447,35.804739895329874,5.121785922582262"
Algeria,El Bayadh,"30.708694363054406,-0.40113277795535396,34.438182480736884,2.3448494809188105"
Algeria,El Oued,"32.00019151300005,5.008046094951283,34.49980662727398,9.063303822000108"
Algeria,El Tarf,"36.404134832956174,7.649745313895096,36.95807526200008,8.642552124000105"
Algeria,Ghardaïa,"29.036367499560413,1.9434269547901408,33.02963796631906,4.978280469667936"
Algeria,Guelma,"36.04250315969307,6.93795413577476,36.7261306829846,7.98786421136424"
Algeria,Illizi,"24.000137321000082,5.81574873181853,30.022793077538495,11.710140444000075"
Algeria,Jijel,"36.52397248044559,5.427348666807518,36.9353146319531,6.47849897584706"
Algeria,Khenchela,"34.16057668756406,6.510900098560683,35.683920395909524,7.544842157239771"
Algeria,Laghouat,"32.695989080731465,1.3362288749626146,34.69286977821764,4.176210564665837"
Algeria,M'Sila,"34.23220022236234,3.379515008211058,36.029093125847055,5.379702995796606"
Algeria,Mascara,"35.02148021114283,-0.5453617012814789,35.783759264178684,0.8804944189822663"
Algeria,Médéa,"35.43907745975696,2.1581942072968445,36.49017609285238,3.6338664080083163"
Algeria,Mila,"35.89279653593138,5.737200554861715,36.62425059738712,6.525007765296095"
Algeria,Mostaganem,"35.68206004483517,-0.11438025634379301,36.33775462400007,0.7412781098968253"
Algeria,Naâma,"32.10462982840386,-1.7467878819998646,34.31371979443293,0.08602094880774303"
Algeria,Oran,"35.29453847896758,-1.1063533189999362,35.90704987200007,-0.11367753799993352"
Algeria,Ouargla,"28.46185476328668,2.9859989761717998,33.44188670480759,9.519707885000116"
Algeria,Oum el Bouaghi,"35.447810777045675,6.148441602997593,36.19244232835075,7.8658561544379495"
Algeria,Relizane,"35.43608022712078,0.2293713720911228,36.20135651279281,1.4116247896523078"
Algeria,Saïda,"33.91503611942136,-0.4996797350317479,35.16059316744071,0.856878288602104"
Algeria,Sétif,"35.63239899311901,4.785217318724278,36.590635076947194,5.983335402207047"
Algeria,Sidi Bel Abbès,"34.21512116141247,-1.1204170390151376,35.429388128958976,-0.05257524265334723"
Algeria,Skikda,"36.432866930364526,6.247830732379128,37.09393952000005,7.384231804953799"
Algeria,Souk Ahras,"35.830991523140256,7.324958936805501,36.49199497900007,8.359675333000041"
Algeria,Tamanghasset,"19.060770275000024,0.825407341875291,29.123545641018495,11.96886071700007"
Algeria,Tébessa,"34.10830597594003,7.135771519440084,36.004210924494544,8.431298869000102"
Algeria,Tiaret,"34.068928534224426,0.49224938270282337,35.68981151019301,2.6202848646547636"
Algeria,Tindouf,"25.508881108000097,-8.68238521299989,29.57912667535578,-2.97425737068113"
Algeria,Tipaza,"36.36666942005769,1.6477860862588614,36.81586334800005,3.0350399111629827"
Algeria,Tissemsilt,"35.544032294155045,1.2455884128749517,36.00565786441888,2.3117765637373964"
Algeria,Tizi Ouzou,"36.46624990500908,3.733653599434035,36.91160716400009,4.648068068086843"
Algeria,Tlemcen,"34.09202070519137,-2.222564256999931,35.319898656042554,-0.7584753082888369"
American Samoa,Eastern,"-14.314819686188377,-170.72150631416503,-14.252373955999929,-170.56725012899992"
American Samoa,Manu's,"-14.271742445999905,-169.67621822799993,-14.16887786299992,-169.44013424399992"
American Samoa,Rose Atoll,"-14.53289153399993,-168.17308508999992,-14.519789320999905,-168.16047115799992"
American Samoa,Swain's Island,"-11.06609465899993,-171.0865372389999,-11.051364841999941,-171.07282467399992"
American Samoa,Western,"-14.37468840899993,-170.83124752499992,-14.289239190935916,-170.69263346744887"
Andorra,Andorra la Vella,"42.489032431001874,1.4871908659656583,42.538113758143425,1.5563509184601116"
Andorra,Canillo,"42.53989007108655,1.5556072618656458,42.62192148900006,1.7650907800001505"
Andorra,Encamp,"42.490508321000036,1.5556072618656458,42.57455292587679,1.7170911348045839"
